Compound,HMDB,KEGG,High.Confidence.Annotation,Compound.Name
"Z-1,6-Tridecadiene",,,True,"Z-1,6-Tridecadiene"
cis-9-Hexadecenal,,,True,cis-9-Hexadecenal
"Benzaldehyde, 4-(1-phenyl-2-propenyloxy)-",,,True,"Benzaldehyde, 4-(1-phenyl-2-propenyloxy)-"
"Cyclohexanecarboxylic acid, ethyl ester",HMDB0033167,,True,"Cyclohexanecarboxylic acid, ethyl ester"
Tributyl phosphate,HMDB0259164,C14439,True,Tributyl phosphate
7-epi-a-Eudesmol,,,True,7-epi-a-Eudesmol
"14-Octadecenoic acid, methyl ester",,,True,"14-Octadecenoic acid, methyl ester"
"4,5-Nonadiene",,,True,"4,5-Nonadiene"
978_unknown,,,True,978_unknown
"2-Octene, 2-methyl-6-methylene-",,,True,"2-Octene, 2-methyl-6-methylene-"
"Benzaldehyde, 3-chloro-5-methoxy-4-[(4-methylphenyl)methoxy]-",,,True,"Benzaldehyde, 3-chloro-5-methoxy-4-[(4-methylphenyl)methoxy]-"
"Benzene, 1-ethyl-4-methyl-",,,True,"Benzene, 1-ethyl-4-methyl-"
"Heptasiloxane, hexadecamethyl-",,,True,"Heptasiloxane, hexadecamethyl-"
(-)-Borneol,HMDB0034976,C01411,True,(-)-Borneol
"Bicyclo[4.1.0]heptane, 7-methylene-",,,True,"Bicyclo[4.1.0]heptane, 7-methylene-"
1228_unknown,,,True,1228_unknown
3-Octanol,HMDB0030070,C17144,True,3-Octanol
"Benzoic acid, 3,4-dichlorophenyl ester",,,True,"Benzoic acid, 3,4-dichlorophenyl ester"
"Decane, 2,2,3-trimethyl-",,,True,"Decane, 2,2,3-trimethyl-"
cis-11-Hexadecenal,HMDB0243751,,True,cis-11-Hexadecenal
"1,1-Dichloropentane",,,True,"1,1-Dichloropentane"
"1,4-p-Menthadien-7-al",HMDB0302599,,True,"1,4-p-Menthadien-7-al"
"Cyclopentanecarboxylic acid, 4-nitrophenyl ester",,,True,"Cyclopentanecarboxylic acid, 4-nitrophenyl ester"
Isobutyl isovalerate,HMDB0038040,,True,Isobutyl isovalerate
251_unknown,,,True,251_unknown
"Cyclohexanone, 2,2,6-trimethyl-",HMDB0033794,,True,"Cyclohexanone, 2,2,6-trimethyl-"
1-Decanol,HMDB0011624,C01633,True,1-Decanol
Methyl tetradecanoate,HMDB0030469,,True,Methyl tetradecanoate
